"Comment","Designator","Footprint","LCSC Part #"
"Battery_Cell","BT1","BatteryHolder_CR2032-BS-6-1_1x2032","C964764"
"0.1uF","C10,C11,C12,C13,C20,C21,C22,C24,C23","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C49678"
"1uF","C14,C15,C25,C1,C2,C3,C4,C5,C6,C7,C8,C9","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C28323"
"12pF","C16,C17","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C1792"
"20pF","C18,C19","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C1798"
"LED","D1","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C84256"
"FJ5461AHred","D6,D5,D4,D3,D10,D9,D8,D7,D14,D13,D12,D11,D18,D17,D16,D15,D22,D21,D20,D19,D26,D25,D24,D23,D30,D29,D28,D27,D34,D33,D32,D31,D38,D37,D36,D35","LED-SEG-TH_FJ5461AH","C54396"
"LM75BDP","IC1","MSOP-8_3x3mm_P0.65mm","C2837470"
"USB_C_Receptacle_USB2.0","J3","USB_C_Receptacle_HRO_TYPE-C-31-M-12","C165948"
"Speaker","LS1","BUZ-TH_PKM13EPYH4002-B0","C128650"
"AO3400A","Q1","SOT-23_Handsoldering","C20917"
"2.7K","R1,R2","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17530"
"0","R3,R8","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17477"
"5.1K","R4,R5,R9","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C27834"
"1K","R7,R6","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17513"
"SW_Push","SW1,SW2,SW3,SW4","SW_SPST_TL3342","C318886"
"GN6932","U0,U1,U2,U3,U4,U5,U6,U7,U8","SOP-32_L21.0-W7.5-P1.27-LS10.4-BL","C265476"
"HT7533-1-SOT89","U9","SOT-89-3","C14289"
"STM32F103C8T6","U10","LQFP-48_7x7mm_P0.5mm","C77994"
"SN74ACT244PWRG4","U12,U11","TSSOP-20_4.4x6.5mm_P0.65mm","C6930"
"LTR-303ALS-01","U13","SOT-363_SC-70-6_Handsoldering","C364577"
"32.768KHz","Y1","Crystal_SMD_3215-2Pin_3.2x1.5mm","C32346"
"8MHz","Y2","Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering","C115962"
