Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery_Cell,BatteryHolder_CR2032-BS-6-1_1x2032,364.000000,-77.800000,270.000000,bottom
C1,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,36.400000,-39.800000,203.000000,top
C2,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,39.000000,-56.200000,190.000000,top
C3,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,40.200000,-72.000000,180.000000,top
C4,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,40.100000,-86.600000,180.000000,top
C5,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,41.400000,-102.400000,170.000000,top
C6,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,41.800000,-119.000000,157.000000,top
C7,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,354.200000,-31.200000,0.000000,top
C8,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,365.379000,-78.400000,180.000000,top
C9,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,357.400000,-114.250000,180.000000,top
C10,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,373.100000,-103.200000,270.000000,top
C11,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,360.083000,-98.425000,90.000000,top
C12,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,370.600000,-111.700000,270.000000,top
C13,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,359.600000,-108.162000,90.000000,top
C14,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,366.600000,-114.700000,0.000000,top
C15,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,366.600000,-112.700000,0.000000,top
C16,12pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,374.600000,-99.200000,270.000000,top
C17,12pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,373.100000,-95.200000,270.000000,top
C18,20pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,369.600000,-94.700000,180.000000,top
C19,20pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,362.562000,-94.700000,0.000000,top
C20,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,370.400000,-46.600000,270.000000,top
C21,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,359.800000,-31.000000,180.000000,top
C22,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,356.200000,-71.800000,270.000000,top
C23,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,357.990000,-103.780000,270.000000,top
C24,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,351.600000,-104.000000,0.000000,top
C25,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,356.850000,-68.700000,0.000000,top
